describe,evaluate,introduce,movie_name,serial_number,star
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,719601人评价,"导演: 黄东赫 Dong-hyuk Hwang 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011 / 韩国 / 剧情",熔炉,18,9.3
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,1415822人评价,"导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore 主演: 金妮弗·...,2016 / 美国 / 喜剧 动画 冒险",疯狂动物城,19,9.2
香港电影史上永不过时的杰作。,964531人评价,"导演: 刘伟强 / 麦兆辉 主演: 刘德华 / 梁朝伟 / 黄秋生,2002 / 中国香港 / 剧情 犯罪 悬疑",无间道,20,9.2
千万不要记恨你的对手，这样会让你失去理智。,719356人评价,"导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 马龙·白兰度 M...,1972 / 美国 / 剧情 犯罪",教父,21,9.3
人人心中都有个龙猫，童年就永远不会消失。,982461人评价,"导演: 宫崎骏 Hayao Miyazaki 主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988 / 日本 / 动画 奇幻 冒险",龙猫,22,9.2
平民励志片。 ,1182537人评价,"导演: 加布里尔·穆奇诺 Gabriele Muccino 主演: 威尔·史密斯 Will Smith ...,2006 / 美国 / 剧情 传记 家庭",当幸福来敲门,23,9.1
真正的幸福是来自内心深处。,1379935人评价,"导演: 罗伯·莱纳 Rob Reiner 主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010 / 美国 / 剧情 喜剧 爱情",怦然心动,24,9.1
满满温情的高雅喜剧。,765709人评价,"导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano 主...,2011 / 法国 / 剧情 喜剧",触不可及,25,9.2
比利·怀德满分作品。,325915人评价,"导演: 比利·怀尔德 Billy Wilder 主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957 / 美国 / 剧情 犯罪 悬疑",控方证人,26,9.6
无尽的黑暗。,800642人评价,"导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 克里斯蒂安·贝尔 Christ...,2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚",蝙蝠侠：黑暗骑士,27,9.2
